Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
21/05/2008;0.008048748;0.009639236;0.008219907;0.007709076;0.010670524;0.008575744;0.00844815;-0.016183787;0.010677205;0.025988616;0.03041405;0.028273176;0.027007961;0.032238569;0.02814878;0.028208411;6.91E-06
22/05/2008;0.011913821;0.011514029;0.011598685;0.011885255;0.012803988;0.010271418;0.00865474;0.002613959;0.008190286;0.038582723;0.033154758;0.033635448;0.033590426;0.035287775;0.030795519;0.028421928;1.39E-05
23/05/2008;0.005179679;0.010696159;0.010770025;0.010461483;0.011590906;0.009364624;0.01002222;-0.013298434;0.00815359;0.016701599;0.0319462;0.032354834;0.031449846;0.033528743;0.029365738;0.030712818;8.84E-06
27/05/2008;0.008125319;0.011580138;0.0127067;0.013848677;0.012979689;0.01050424;0.010233339;0.006822893;0.006970625;0.026283692;0.033230054;0.035235434;0.036310179;0.035539298;0.031200266;0.030977941;1.33E-06
28/05/2008;0.008309521;0.011050448;0.011758908;0.012119328;0.012447894;0.01019487;0.010984294;0.003955059;0.006805125;0.026925598;0.032396725;0.03377908;0.033847491;0.03471282;0.030657904;0.032114177;2.26E-06
29/05/2008;0.00611164;0.010311907;0.010899501;0.010639627;0.011444156;0.009459732;0.010955222;0.005320757;0.006254804;0.019758986;0.031253984;0.032429085;0.031603993;0.033219223;0.029454262;0.032099894;2.05E-08
30/05/2008;0.006274411;0.009692144;0.010148059;0.009414947;0.010786567;0.009007349;0.010345095;0.001515018;0.011368928;0.020281762;0.030266205;0.031224801;0.02964959;0.032203771;0.028688955;0.031191795;2.60E-05
02/06/2008;0.011624444;0.008970645;0.009513768;0.008374097;0.009728728;0.008165378;0.009589037;-0.010559823;0.018283793;0.037684363;0.029198801;0.03034152;0.028056888;0.030656357;0.027407701;0.03010455;4.43E-05
03/06/2008;0.017217554;0.009386949;0.010463758;0.010572275;0.010415512;0.008829315;0.008819174;-0.005804642;0.018242339;0.055902335;0.029766549;0.031718762;0.031450942;0.03162242;0.028397452;0.028748667;1.05E-06
04/06/2008;0.018132308;0.009212621;0.010288512;0.011508025;0.010435601;0.008879851;0.008948267;-0.00032675;0.018197199;0.058908468;0.029466291;0.031337732;0.0327709;0.031585103;0.028415084;0.02890524;4.21E-09
05/06/2008;0.017803364;0.008574846;0.009668141;0.010644351;0.009574437;0.008163154;0.008794155;0.019308535;0.01913789;0.057828094;0.028505457;0.030449171;0.031646603;0.030336022;0.027301146;0.028731226;1.78E-06
06/06/2008;0.020467507;0.010594737;0.009132948;0.009424179;0.01172329;0.009933036;0.008380103;-0.031376338;0.014613953;0.066491183;0.03167345;0.029555745;0.02967867;0.03363557;0.030180418;0.02792177;3.43E-05
09/06/2008;0.013534911;0.016602294;0.022285321;0.019688128;0.016531754;0.013574853;0.009946555;0.000793374;0.011517491;0.043885981;0.039853641;0.046873761;0.043292379;0.04031559;0.035554951;0.030557264;4.07E-06
10/06/2008;0.012361788;0.015670944;0.020699518;0.017273568;0.015003081;0.012355735;0.016259231;-0.002441049;0.011508147;0.040139669;0.038825001;0.045333204;0.040641186;0.038375499;0.03393848;0.0394006;7.29E-07
